date,strategy,symbol,x,y,z,result
20240415,mark-1,ADA/USDT,13,6.9,2.3,0.01
20240415,mark-1,ADA/USDT,15,2.2,2.9,0.01
20240415,mark-1,ADA/USDT,15,58,4,0.01
20240415,mark-1,BCH/USDT,32,77,3.5,0.01
20240415,mark-1,DOGE/USDT,5,54,3.8,0.01
20240415,mark-1,DOT/USDT,6,91,2.6,499.3649962
20240415,mark-1,FTM/USDT,5,93,2.8,34892.22308
20240415,mark-1,LINK/USDT,31,52,2.8,0.01
20240415,mark-1,LTC/USDT,11,101,4.1,0.01
20240416,mark-1,MATIC/USDT,21,60,3.2,0.01
20240416,mark-1,SOL/USDT,8,74,3.8,7902.387192
20240416,mark-1,TRX/USDT,31,101,2.1,0.01
20240416,mark-1,XRP/USDT,30,73,3.4,0.01
20240416,mark-1,BTC/USDT,28,98,4.1,0.01
20240416,mark-1,ETH/USDT,29,76,3.7,0.01
